2020-09-04 358C,2 DTE,60,189,49760,7.81,2020-09-02,22:40PM
2020-09-18 358C,16 DTE,60,529,5870,2.93,2020-09-02,22:40PM
2020-10-16 358C,44 DTE,60,940,1251,1.67,2020-09-02,22:40PM
2020-09-04 359C,2 DTE,60,143,35518,7.68,2020-09-02,22:40PM
2020-09-18 359C,16 DTE,60,478,8085,2.95,2020-09-02,22:40PM
2020-10-16 359C,44 DTE,60,884,2075,1.69,2020-09-02,22:40PM
2020-09-04 360C,2 DTE,60,108,59771,7.14,2020-09-02,22:40PM
2020-09-18 360C,16 DTE,60,429,15770,2.95,2020-09-02,22:40PM
2020-10-16 360C,44 DTE,60,833,7496,1.69,2020-09-02,22:40PM
2020-09-04 361C,2 DTE,60,77,15643,6.47,2020-09-02,22:40PM
2020-09-18 361C,16 DTE,60,384,7069,2.93,2020-09-02,22:40PM
2020-10-16 361C,44 DTE,60,783,860,1.7,2020-09-02,22:40PM
2020-09-04 362C,2 DTE,60,56,17014,5.56,2020-09-02,22:40PM
2020-09-18 362C,16 DTE,60,342,7249,2.89,2020-09-02,22:40PM
2020-10-16 362C,44 DTE,60,733,957,1.7,2020-09-02,22:40PM
2020-09-04 363C,2 DTE,60,40,10434,4.63,2020-09-02,22:40PM
2020-09-18 363C,16 DTE,60,305,3374,2.83,2020-09-02,22:40PM
2020-10-16 363C,44 DTE,60,688,1484,1.7,2020-09-02,22:40PM
2020-09-04 364C,2 DTE,60,29,10898,3.76,2020-09-02,22:40PM
2020-09-18 364C,16 DTE,60,271,3256,2.75,2020-09-02,22:40PM
2020-10-16 364C,44 DTE,60,644,749,1.69,2020-09-02,22:40PM
2020-09-04 365C,2 DTE,60,21,11731,2.99,2020-09-02,22:40PM
2020-09-18 365C,16 DTE,60,239,7642,2.66,2020-09-02,22:40PM
2020-10-16 365C,44 DTE,60,604,3055,1.68,2020-09-02,22:40PM
2020-09-04 366C,2 DTE,60,16,5285,2.39,2020-09-02,22:40PM
2020-09-18 366C,16 DTE,60,213,2412,2.54,2020-09-02,22:40PM
2020-10-16 366C,44 DTE,60,566,2792,1.66,2020-09-02,22:40PM
2020-09-04 367C,2 DTE,60,12,4056,1.88,2020-09-02,22:40PM
2020-09-18 367C,16 DTE,60,188,3304,2.42,2020-09-02,22:40PM
2020-10-16 367C,44 DTE,60,529,1192,1.64,2020-09-02,22:40PM
2020-09-04 368C,2 DTE,60,9,1882,1.48,2020-09-02,22:40PM
2020-09-18 368C,16 DTE,60,166,6191,2.29,2020-09-02,22:40PM
2020-10-16 368C,44 DTE,60,492,649,1.62,2020-09-02,22:40PM
2020-09-04 369C,2 DTE,60,7,1815,1.17,2020-09-02,22:40PM
2020-09-18 369C,16 DTE,60,147,1967,2.16,2020-09-02,22:40PM
2020-10-16 369C,44 DTE,60,460,1198,1.59,2020-09-02,22:40PM
2020-09-04 370C,2 DTE,60,6,1112,0.97,2020-09-02,22:40PM
2020-09-18 370C,16 DTE,60,130,5167,2.02,2020-09-02,22:40PM
2020-10-16 370C,44 DTE,60,429,5576,1.56,2020-09-02,22:40PM
2020-09-04 371C,2 DTE,60,5,624,0.79,2020-09-02,22:40PM
2020-09-18 371C,16 DTE,60,115,961,1.89,2020-09-02,22:40PM
2020-10-16 371C,44 DTE,60,399,1061,1.53,2020-09-02,22:40PM
2020-09-04 372C,2 DTE,60,4,390,0.64,2020-09-02,22:40PM
2020-09-18 372C,16 DTE,60,102,798,1.76,2020-09-02,22:40PM
2020-10-16 372C,44 DTE,60,373,1051,1.49,2020-09-02,22:40PM
2020-09-04 359P,2 DTE,60,273,5246,7.67,2020-09-02,22:40PM
2020-09-18 359P,16 DTE,60,693,647,2.54,2020-09-02,22:40PM
2020-10-16 359P,44 DTE,60,1142,563,1.48,2020-09-02,22:40PM
2020-09-04 358P,2 DTE,60,222,13172,7.69,2020-09-02,22:40PM
2020-09-18 358P,16 DTE,60,642,714,2.53,2020-09-02,22:40PM
2020-10-16 358P,44 DTE,60,1097,563,1.47,2020-09-02,22:40PM
2020-09-04 357P,2 DTE,60,176,32491,7.52,2020-09-02,22:40PM
2020-09-18 357P,16 DTE,60,594,2091,2.52,2020-09-02,22:40PM
2020-10-16 357P,44 DTE,60,1053,1426,1.45,2020-09-02,22:40PM
2020-09-04 356P,2 DTE,60,141,59663,6.99,2020-09-02,22:40PM
2020-09-18 356P,16 DTE,60,550,2378,2.49,2020-09-02,22:40PM
2020-10-16 356P,44 DTE,60,1012,1244,1.44,2020-09-02,22:40PM
2020-09-04 355P,2 DTE,60,112,83262,6.34,2020-09-02,22:40PM
2020-09-18 355P,16 DTE,60,511,9327,2.44,2020-09-02,22:40PM
2020-10-16 355P,44 DTE,60,972,3498,1.42,2020-09-02,22:40PM
2020-09-04 354P,2 DTE,60,90,88220,5.58,2020-09-02,22:40PM
2020-09-18 354P,16 DTE,60,474,8114,2.38,2020-09-02,22:40PM
2020-10-16 354P,44 DTE,60,934,2351,1.4,2020-09-02,22:40PM
2020-09-04 353P,2 DTE,60,71,50062,4.86,2020-09-02,22:40PM
2020-09-18 353P,16 DTE,60,439,5532,2.32,2020-09-02,22:40PM
2020-10-16 353P,44 DTE,60,898,2754,1.38,2020-09-02,22:40PM
2020-09-04 352P,2 DTE,60,58,39990,4.16,2020-09-02,22:40PM
2020-09-18 352P,16 DTE,60,409,3630,2.25,2020-09-02,22:40PM
2020-10-16 352P,44 DTE,60,864,2333,1.36,2020-09-02,22:40PM
2020-09-04 351P,2 DTE,60,47,34478,3.53,2020-09-02,22:40PM
2020-09-18 351P,16 DTE,60,380,4736,2.17,2020-09-02,22:40PM
2020-10-16 351P,44 DTE,60,831,961,1.33,2020-09-02,22:40PM
2020-09-04 350P,2 DTE,60,38,71029,2.98,2020-09-02,22:40PM
2020-09-18 350P,16 DTE,60,354,22327,2.09,2020-09-02,22:40PM
2020-10-16 350P,44 DTE,60,801,7932,1.31,2020-09-02,22:40PM
2020-09-04 349P,2 DTE,60,32,16147,2.52,2020-09-02,22:40PM
2020-09-18 349P,16 DTE,60,331,5001,2.0,2020-09-02,22:40PM
2020-10-16 349P,44 DTE,60,772,1303,1.28,2020-09-02,22:40PM
2020-09-04 348P,2 DTE,60,27,16138,2.13,2020-09-02,22:40PM
2020-09-18 348P,16 DTE,60,309,2953,1.92,2020-09-02,22:40PM
2020-10-16 348P,44 DTE,60,743,1584,1.25,2020-09-02,22:40PM
2020-09-04 347P,2 DTE,60,23,10776,1.81,2020-09-02,22:40PM
2020-09-18 347P,16 DTE,60,289,6434,1.83,2020-09-02,22:40PM
2020-10-16 347P,44 DTE,60,717,2075,1.23,2020-09-02,22:40PM
2020-09-04 346P,2 DTE,60,20,7324,1.54,2020-09-02,22:40PM
2020-09-18 346P,16 DTE,60,271,2067,1.75,2020-09-02,22:40PM
2020-10-16 346P,44 DTE,60,691,2299,1.2,2020-09-02,22:40PM
2020-09-04 345P,2 DTE,60,17,28833,1.31,2020-09-02,22:40PM
2020-09-18 345P,16 DTE,60,254,15017,1.66,2020-09-02,22:40PM
2020-10-16 345P,44 DTE,60,667,13491,1.17,2020-09-02,22:40PM
